country_id,org_id,role_in_org,has_veto
columbia,western_treaty,founding_member,false
columbia,the_council,permanent_member,true
columbia,the_seven,member,false
columbia,columbia_parliament,internal,false
columbia,the_assembly,member,false
cathay,the_council,permanent_member,true
cathay,the_league,co_leader,false
cathay,the_assembly,member,false
nordostan,the_council,permanent_member,true
nordostan,the_league,co_leader,false
nordostan,the_cartel,member,false
nordostan,the_assembly,member,false
heartland,the_assembly,member,false
persia,the_league,member,false
persia,the_cartel,member,false
persia,the_assembly,member,false
gallia,western_treaty,founding_member,false
gallia,the_union,founding_member,false
gallia,the_council,permanent_member,true
gallia,the_seven,member,false
gallia,the_assembly,member,false
teutonia,western_treaty,member,false
teutonia,the_union,founding_member,false
teutonia,the_seven,member,false
teutonia,the_assembly,member,false
freeland,western_treaty,member,false
freeland,the_union,member,false
freeland,the_assembly,member,false
ponte,western_treaty,member,false
ponte,the_union,member,false
ponte,the_seven,member,false
ponte,the_assembly,member,false
albion,western_treaty,founding_member,false
albion,the_council,permanent_member,true
albion,the_seven,member,false
albion,the_assembly,member,false
bharata,the_league,member,false
bharata,the_council,rotating_member,false
bharata,the_assembly,member,false
levantia,the_assembly,member,false
formosa,the_assembly,observer,false
phrygia,western_treaty,member,false
phrygia,the_league,observer,false
phrygia,the_assembly,member,false
yamato,the_seven,member,false
yamato,the_assembly,member,false
solaria,the_league,member,false
solaria,the_cartel,leader,false
solaria,the_assembly,member,false
choson,the_assembly,member,false
hanguk,the_assembly,member,false
caribe,the_assembly,member,false
mirage,the_league,member,false
mirage,the_cartel,member,false
mirage,the_assembly,member,false
